,precision,recall,f1-score,support
,,,,
1,0.98,0.98,0.98,60
2,0.78,0.91,0.84,69
3,1,0.97,0.98,64
4,0.92,0.92,0.92,64
5,0.92,0.84,0.88,57
6,0.9,0.98,0.94,54
7,0.95,0.93,0.94,57
8,1,1,1,65
9,0.98,1,0.99,56
10,0.96,0.98,0.97,53
11,0.98,0.98,0.98,65
12,0.98,0.98,0.98,63
13,0.94,0.63,0.75,51
14,0.72,0.96,0.82,51
15,1,0.97,0.98,67
16,0.89,0.75,0.81,52
17,0.98,1,0.99,53
18,0.99,0.97,0.98,74
19,0.98,0.93,0.95,55
20,0.86,0.9,0.88,48
21,0.98,0.98,0.98,61
22,0.93,0.93,0.93,67
,,,,
avg/ total,0.94,0.94,0.94,1306
